iso3,country,period,metric,category,value,unit,legality,flow_type,source
GBR,United Kingdom,2022,asylum_applications,main_applicant,76948.0,claims,legal,count,Home Office Immigration System Statistics
GBR,United Kingdom,2023,asylum_applications,main_applicant,68462.0,claims,legal,count,Home Office Immigration System Statistics
GBR,United Kingdom,2024,asylum_applications,main_applicant,82368.0,claims,legal,count,Home Office Immigration System Statistics
GBR,United Kingdom,2025,asylum_applications,main_applicant,82140.0,claims,legal,count,Home Office Immigration System Statistics
GBR,United Kingdom,2001,asylum_applications_per_1000_pop,main_applicant,1.2014105693717216,"per 1,000 population",legal,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2002,asylum_applications_per_1000_pop,main_applicant,1.4170679000248592,"per 1,000 population",legal,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2003,asylum_applications_per_1000_pop,main_applicant,0.8283152893201345,"per 1,000 population",legal,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2004,asylum_applications_per_1000_pop,main_applicant,0.5661141191711896,"per 1,000 population",legal,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2005,asylum_applications_per_1000_pop,main_applicant,0.4256868645967102,"per 1,000 population",legal,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2006,asylum_applications_per_1000_pop,main_applicant,0.38813860773660813,"per 1,000 population",legal,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2007,asylum_applications_per_1000_pop,main_applicant,0.3821112012412156,"per 1,000 population",legal,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2008,asylum_applications_per_1000_pop,main_applicant,0.41958034038056696,"per 1,000 population",legal,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2009,asylum_applications_per_1000_pop,main_applicant,0.3931995284881384,"per 1,000 population",legal,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2010,asylum_applications_per_1000_pop,main_applicant,0.28543950251062017,"per 1,000 population",legal,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2011,asylum_applications_per_1000_pop,main_applicant,0.3140274058269512,"per 1,000 population",legal,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2012,asylum_applications_per_1000_pop,main_applicant,0.34284503460940813,"per 1,000 population",legal,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2013,asylum_applications_per_1000_pop,main_applicant,0.36770713149770806,"per 1,000 population",legal,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2014,asylum_applications_per_1000_pop,main_applicant,0.3873938005849673,"per 1,000 population",legal,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2015,asylum_applications_per_1000_pop,main_applicant,0.502911487701077,"per 1,000 population",legal,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2016,asylum_applications_per_1000_pop,main_applicant,0.4686614029204646,"per 1,000 population",legal,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2017,asylum_applications_per_1000_pop,main_applicant,0.4024467891577224,"per 1,000 population",legal,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2018,asylum_applications_per_1000_pop,main_applicant,0.4450948149712613,"per 1,000 population",legal,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2019,asylum_applications_per_1000_pop,main_applicant,0.5363660923335535,"per 1,000 population",legal,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2020,asylum_applications_per_1000_pop,main_applicant,0.4411147737488762,"per 1,000 population",legal,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2021,asylum_applications_per_1000_pop,main_applicant,0.7193705395801606,"per 1,000 population",legal,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2022,asylum_applications_per_1000_pop,main_applicant,1.1376781595599976,"per 1,000 population",legal,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2023,asylum_applications_per_1000_pop,main_applicant,0.9990660479234159,"per 1,000 population",legal,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2024,asylum_applications_per_1000_pop,main_applicant,1.188897388894502,"per 1,000 population",legal,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2025,asylum_applications_per_1000_pop,main_applicant,1.1820916142587823,"per 1,000 population",legal,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2012,emigration,all,448000.0,people,legal,outflow,ONS Long-Term International Migration
GBR,United Kingdom,2013,emigration,all,469000.0,people,legal,outflow,ONS Long-Term International Migration
GBR,United Kingdom,2014,emigration,all,494000.0,people,legal,outflow,ONS Long-Term International Migration
GBR,United Kingdom,2015,emigration,all,494000.0,people,legal,outflow,ONS Long-Term International Migration
GBR,United Kingdom,2016,emigration,all,523000.0,people,legal,outflow,ONS Long-Term International Migration
GBR,United Kingdom,2017,emigration,all,544000.0,people,legal,outflow,ONS Long-Term International Migration
GBR,United Kingdom,2018,emigration,all,549000.0,people,legal,outflow,ONS Long-Term International Migration
GBR,United Kingdom,2019,emigration,all,605000.0,people,legal,outflow,ONS Long-Term International Migration
GBR,United Kingdom,2020,emigration,all,569000.0,people,legal,outflow,ONS Long-Term International Migration
GBR,United Kingdom,2021,emigration,all,480000.0,people,legal,outflow,ONS Long-Term International Migration
GBR,United Kingdom,2022,emigration,all,508000.0,people,legal,outflow,ONS Long-Term International Migration
GBR,United Kingdom,2023,emigration,all,593000.0,people,legal,outflow,ONS Long-Term International Migration
GBR,United Kingdom,2024,emigration,all,680000.0,people,legal,outflow,ONS Long-Term International Migration
GBR,United Kingdom,2025,emigration,all,642000.0,people,legal,outflow,ONS Long-Term International Migration
GBR,United Kingdom,2012,emigration_per_1000_pop,all,7.031752758550329,"per 1,000 population",legal,outflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2013,emigration_per_1000_pop,all,7.312357728647603,"per 1,000 population",legal,outflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2014,emigration_per_1000_pop,all,7.644810349897089,"per 1,000 population",legal,outflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2015,emigration_per_1000_pop,all,7.589841289351176,"per 1,000 population",legal,outflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2016,emigration_per_1000_pop,all,7.971831844648355,"per 1,000 population",legal,outflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2017,emigration_per_1000_pop,all,8.246922563822691,"per 1,000 population",legal,outflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2018,emigration_per_1000_pop,all,8.282166940727443,"per 1,000 population",legal,outflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2019,emigration_per_1000_pop,all,9.080266554601668,"per 1,000 population",legal,outflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2020,emigration_per_1000_pop,all,8.525621816002397,"per 1,000 population",legal,outflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2021,emigration_per_1000_pop,all,7.166532294186151,"per 1,000 population",legal,outflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2022,emigration_per_1000_pop,all,7.5107930687799405,"per 1,000 population",legal,outflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2023,emigration_per_1000_pop,all,8.653649709599277,"per 1,000 population",legal,outflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2024,emigration_per_1000_pop,all,9.815100821292996,"per 1,000 population",legal,outflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2025,emigration_per_1000_pop,all,9.239138256076677,"per 1,000 population",legal,outflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2012,immigration,all,643000.0,people,legal,inflow,ONS Long-Term International Migration
GBR,United Kingdom,2013,immigration,all,713000.0,people,legal,inflow,ONS Long-Term International Migration
GBR,United Kingdom,2014,immigration,all,778000.0,people,legal,inflow,ONS Long-Term International Migration
GBR,United Kingdom,2015,immigration,all,797000.0,people,legal,inflow,ONS Long-Term International Migration
GBR,United Kingdom,2016,immigration,all,772000.0,people,legal,inflow,ONS Long-Term International Migration
GBR,United Kingdom,2017,immigration,all,752000.0,people,legal,inflow,ONS Long-Term International Migration
GBR,United Kingdom,2018,immigration,all,825000.0,people,legal,inflow,ONS Long-Term International Migration
GBR,United Kingdom,2019,immigration,all,788000.0,people,legal,inflow,ONS Long-Term International Migration
GBR,United Kingdom,2020,immigration,all,662000.0,people,legal,inflow,ONS Long-Term International Migration
GBR,United Kingdom,2021,immigration,all,947000.0,people,legal,inflow,ONS Long-Term International Migration
GBR,United Kingdom,2022,immigration,all,1398000.0,people,legal,inflow,ONS Long-Term International Migration
GBR,United Kingdom,2023,immigration,all,1441000.0,people,legal,inflow,ONS Long-Term International Migration
GBR,United Kingdom,2024,immigration,all,1012000.0,people,legal,inflow,ONS Long-Term International Migration
GBR,United Kingdom,2025,immigration,all,813000.0,people,legal,inflow,ONS Long-Term International Migration
GBR,United Kingdom,2012,immigration_per_1000_pop,all,10.092448713722906,"per 1,000 population",legal,inflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2013,immigration_per_1000_pop,all,11.116654713274501,"per 1,000 population",legal,inflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2014,immigration_per_1000_pop,all,12.039802534858168,"per 1,000 population",legal,inflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2015,immigration_per_1000_pop,all,12.245148800835805,"per 1,000 population",legal,inflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2016,immigration_per_1000_pop,all,11.767216413132944,"per 1,000 population",legal,inflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2017,immigration_per_1000_pop,all,11.400157661754896,"per 1,000 population",legal,inflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2018,immigration_per_1000_pop,all,12.445879282513916,"per 1,000 population",legal,inflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2019,immigration_per_1000_pop,all,11.826859578555561,"per 1,000 population",legal,inflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2020,immigration_per_1000_pop,all,9.919089002097692,"per 1,000 population",legal,inflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2021,immigration_per_1000_pop,all,14.13897100540476,"per 1,000 population",legal,inflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2022,immigration_per_1000_pop,all,20.669465964870778,"per 1,000 population",legal,inflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2023,immigration_per_1000_pop,all,21.02851472433821,"per 1,000 population",legal,inflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2024,immigration_per_1000_pop,all,14.60717945757134,"per 1,000 population",legal,inflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2025,immigration_per_1000_pop,all,11.700030221480278,"per 1,000 population",legal,inflow,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2018,irregular_arrivals,air,4769.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2019,irregular_arrivals,air,5237.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2020,irregular_arrivals,air,2328.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2021,irregular_arrivals,air,2561.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2022,irregular_arrivals,air,5130.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2023,irregular_arrivals,air,3854.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2024,irregular_arrivals,air,3349.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2025,irregular_arrivals,air,3027.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2018,irregular_arrivals,all,13377.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2019,irregular_arrivals,all,16531.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2020,irregular_arrivals,all,17030.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2021,irregular_arrivals,all,36785.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2022,irregular_arrivals,all,54574.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2023,irregular_arrivals,all,36363.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2024,irregular_arrivals,all,43290.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2025,irregular_arrivals,all,46497.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2018,irregular_arrivals,in_country,7257.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2019,irregular_arrivals,in_country,8492.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2020,irregular_arrivals,in_country,5428.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2021,irregular_arrivals,in_country,5036.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2022,irregular_arrivals,in_country,3379.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2023,irregular_arrivals,in_country,2836.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2024,irregular_arrivals,in_country,2900.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2025,irregular_arrivals,in_country,1817.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2018,irregular_arrivals,port,1052.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2019,irregular_arrivals,port,959.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2020,irregular_arrivals,port,808.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2021,irregular_arrivals,port,662.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2022,irregular_arrivals,port,291.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2023,irregular_arrivals,port,236.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2024,irregular_arrivals,port,225.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2025,irregular_arrivals,port,181.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2018,irregular_arrivals,small_boat,299.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2019,irregular_arrivals,small_boat,1843.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2020,irregular_arrivals,small_boat,8466.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2021,irregular_arrivals,small_boat,28526.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2022,irregular_arrivals,small_boat,45774.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2023,irregular_arrivals,small_boat,29437.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2024,irregular_arrivals,small_boat,36816.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2025,irregular_arrivals,small_boat,41472.0,detections,irregular,count,Home Office Immigration System Statistics
GBR,United Kingdom,2018,irregular_arrivals_per_1000_pop,all,0.20180427534810746,"per 1,000 population",irregular,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2019,irregular_arrivals_per_1000_pop,all,0.24810890316383505,"per 1,000 population",irregular,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2020,irregular_arrivals_per_1000_pop,all,0.2551693137548697,"per 1,000 population",irregular,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2021,irregular_arrivals_per_1000_pop,all,0.5492101884200782,"per 1,000 population",irregular,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2022,irregular_arrivals_per_1000_pop,all,0.8068779939677094,"per 1,000 population",irregular,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2023,irregular_arrivals_per_1000_pop,all,0.5306453025129149,"per 1,000 population",irregular,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2024,irregular_arrivals_per_1000_pop,all,0.6248466390496673,"per 1,000 population",irregular,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2025,irregular_arrivals_per_1000_pop,all,0.6691467468735159,"per 1,000 population",irregular,count,Derived: Home Office Immigration System Statistics ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,1990,migrant_stock,all,3664896.0,people,total,stock,World Bank WDI
GBR,United Kingdom,1995,migrant_stock,all,4173053.0,people,total,stock,World Bank WDI
GBR,United Kingdom,2000,migrant_stock,all,4747902.0,people,total,stock,World Bank WDI
GBR,United Kingdom,2005,migrant_stock,all,5989992.0,people,total,stock,World Bank WDI
GBR,United Kingdom,2010,migrant_stock,all,7713303.0,people,total,stock,World Bank WDI
GBR,United Kingdom,2015,migrant_stock,all,9071431.0,people,total,stock,World Bank WDI
GBR,United Kingdom,2020,migrant_stock,all,10520870.0,people,total,stock,World Bank WDI
GBR,United Kingdom,2024,migrant_stock,all,11845479.0,people,total,stock,World Bank WDI
GBR,United Kingdom,1990,migrant_stock_pct,all,6.4,% of population,total,stock,World Bank WDI
GBR,United Kingdom,1995,migrant_stock_pct,all,7.2,% of population,total,stock,World Bank WDI
GBR,United Kingdom,2000,migrant_stock_pct,all,8.0,% of population,total,stock,World Bank WDI
GBR,United Kingdom,2005,migrant_stock_pct,all,9.9,% of population,total,stock,World Bank WDI
GBR,United Kingdom,2010,migrant_stock_pct,all,12.2,% of population,total,stock,World Bank WDI
GBR,United Kingdom,2015,migrant_stock_pct,all,13.9,% of population,total,stock,World Bank WDI
GBR,United Kingdom,2020,migrant_stock_pct,all,15.6,% of population,total,stock,World Bank WDI
GBR,United Kingdom,2024,migrant_stock_pct,all,17.1,% of population,total,stock,World Bank WDI
GBR,United Kingdom,2012,net_migration,all,195000.0,people,total,net,ONS Long-Term International Migration
GBR,United Kingdom,2013,net_migration,all,244000.0,people,total,net,ONS Long-Term International Migration
GBR,United Kingdom,2014,net_migration,all,284000.0,people,total,net,ONS Long-Term International Migration
GBR,United Kingdom,2015,net_migration,all,303000.0,people,total,net,ONS Long-Term International Migration
GBR,United Kingdom,2016,net_migration,all,249000.0,people,total,net,ONS Long-Term International Migration
GBR,United Kingdom,2017,net_migration,all,208000.0,people,total,net,ONS Long-Term International Migration
GBR,United Kingdom,2018,net_migration,all,276000.0,people,total,net,ONS Long-Term International Migration
GBR,United Kingdom,2019,net_migration,all,184000.0,people,total,net,ONS Long-Term International Migration
GBR,United Kingdom,2020,net_migration,all,93000.0,people,total,net,ONS Long-Term International Migration
GBR,United Kingdom,2021,net_migration,all,467000.0,people,total,net,ONS Long-Term International Migration
GBR,United Kingdom,2022,net_migration,all,891000.0,people,total,net,ONS Long-Term International Migration
GBR,United Kingdom,2023,net_migration,all,848000.0,people,total,net,ONS Long-Term International Migration
GBR,United Kingdom,2024,net_migration,all,331000.0,people,total,net,ONS Long-Term International Migration
GBR,United Kingdom,2025,net_migration,all,171000.0,people,total,net,ONS Long-Term International Migration
GBR,United Kingdom,2012,net_migration_per_1000_pop,all,3.060695955172576,"per 1,000 population",total,net,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2013,net_migration_per_1000_pop,all,3.804296984626898,"per 1,000 population",total,net,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2014,net_migration_per_1000_pop,all,4.39499218496108,"per 1,000 population",total,net,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2015,net_migration_per_1000_pop,all,4.6553075114846285,"per 1,000 population",total,net,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2016,net_migration_per_1000_pop,all,3.79538456848459,"per 1,000 population",total,net,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2017,net_migration_per_1000_pop,all,3.1532350979322055,"per 1,000 population",total,net,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2018,net_migration_per_1000_pop,all,4.163712341786474,"per 1,000 population",total,net,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2019,net_migration_per_1000_pop,all,2.7616017290028214,"per 1,000 population",total,net,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2020,net_migration_per_1000_pop,all,1.3934671860952952,"per 1,000 population",total,net,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2021,net_migration_per_1000_pop,all,6.97243871121861,"per 1,000 population",total,net,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2022,net_migration_per_1000_pop,all,13.173457921816784,"per 1,000 population",total,net,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2023,net_migration_per_1000_pop,all,12.374865014738932,"per 1,000 population",total,net,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2024,net_migration_per_1000_pop,all,4.777644664482326,"per 1,000 population",total,net,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,2025,net_migration_per_1000_pop,all,2.460891965403601,"per 1,000 population",total,net,Derived: ONS Long-Term International Migration ÷ World Bank SP.POP.TOTL
GBR,United Kingdom,1960,net_migration_wb,all,19953.0,people,total,net,World Bank WDI
GBR,United Kingdom,1961,net_migration_wb,all,52295.0,people,total,net,World Bank WDI
GBR,United Kingdom,1962,net_migration_wb,all,76443.0,people,total,net,World Bank WDI
GBR,United Kingdom,1963,net_migration_wb,all,8271.0,people,total,net,World Bank WDI
GBR,United Kingdom,1964,net_migration_wb,all,-23885.0,people,total,net,World Bank WDI
GBR,United Kingdom,1965,net_migration_wb,all,-24955.0,people,total,net,World Bank WDI
GBR,United Kingdom,1966,net_migration_wb,all,-27935.0,people,total,net,World Bank WDI
GBR,United Kingdom,1967,net_migration_wb,all,-39659.0,people,total,net,World Bank WDI
GBR,United Kingdom,1968,net_migration_wb,all,-38852.0,people,total,net,World Bank WDI
GBR,United Kingdom,1969,net_migration_wb,all,-60655.0,people,total,net,World Bank WDI
GBR,United Kingdom,1970,net_migration_wb,all,-15254.0,people,total,net,World Bank WDI
GBR,United Kingdom,1971,net_migration_wb,all,1175.0,people,total,net,World Bank WDI
GBR,United Kingdom,1972,net_migration_wb,all,-1406.0,people,total,net,World Bank WDI
GBR,United Kingdom,1973,net_migration_wb,all,-33840.0,people,total,net,World Bank WDI
GBR,United Kingdom,1974,net_migration_wb,all,-65710.0,people,total,net,World Bank WDI
GBR,United Kingdom,1975,net_migration_wb,all,-40241.0,people,total,net,World Bank WDI
GBR,United Kingdom,1976,net_migration_wb,all,-19135.0,people,total,net,World Bank WDI
GBR,United Kingdom,1977,net_migration_wb,all,-21636.0,people,total,net,World Bank WDI
GBR,United Kingdom,1978,net_migration_wb,all,3783.0,people,total,net,World Bank WDI
GBR,United Kingdom,1979,net_migration_wb,all,11255.0,people,total,net,World Bank WDI
GBR,United Kingdom,1980,net_migration_wb,all,-25187.0,people,total,net,World Bank WDI
GBR,United Kingdom,1981,net_migration_wb,all,-83876.0,people,total,net,World Bank WDI
GBR,United Kingdom,1982,net_migration_wb,all,-61152.0,people,total,net,World Bank WDI
